Year,United States,United Kingdom,Germany,France,Italy,Canada,Japan,,Country,Gap to Target (MtCO₂),,Country,% Change (2015–2024)
2015,5171,460,795,382,381,582,1221,,United States,1780,,United States,-1.80%
2016,5109,432,783,372,370,575,1203,,United Kingdom,180,,United Kingdom,-26.10%
2017,5073,417,771,366,358,589,1196,,Germany,440,,Germany,-13.20%
2018,5146,412,756,360,350,601,1183,,France,120,,France,-11.00%
2019,5052,394,719,348,340,608,1159,,Italy,175,,Italy,-12.10%
2020,4321,318,644,324,310,577,1078,,Canada,250,,Canada,0
2021,4781,341,686,336,328,608,1104,,Japan,530,,Japan,-7.50%
2022,4932,346,704,345,339,624,1131,,,,,,
2023,5110,352,712,348,342,635,1142,,,,,,
2024 (est),5080,340,690,340,335,620,1130,,,,,,
