Country,Year,Emissions,Target,Gap,On_Track
United States,2015,5171,3300,1780,No
United States,2016,5109,3300,1780,No
United States,2017,5073,3300,1780,No
United States,2018,5146,3300,1780,No
United States,2019,5052,3300,1780,No
United States,2020,4321,3300,1780,No
United States,2021,4781,3300,1780,No
United States,2022,4932,3300,1780,No
United States,2023,5110,3300,1780,No
United States,2024,5080,3300,1780,No
United Kingdom,2015,460,160,180,No
United Kingdom,2016,432,160,180,No
United Kingdom,2017,417,160,180,No
United Kingdom,2018,412,160,180,No
United Kingdom,2019,394,160,180,No
United Kingdom,2020,318,160,180,No
United Kingdom,2021,341,160,180,No
United Kingdom,2022,346,160,180,No
United Kingdom,2023,352,160,180,No
United Kingdom,2024,340,160,180,No
Germany,2015,795,250,440,No
Germany,2016,783,250,440,No
Germany,2017,771,250,440,No
Germany,2018,756,250,440,No
Germany,2019,719,250,440,No
Germany,2020,644,250,440,No
Germany,2021,686,250,440,No
Germany,2022,704,250,440,No
Germany,2023,712,250,440,No
Germany,2024,690,250,440,No
France,2015,382,220,120,No
France,2016,372,220,120,No
France,2017,366,220,120,No
France,2018,360,220,120,No
France,2019,348,220,120,No
France,2020,324,220,120,No
France,2021,336,220,120,No
France,2022,345,220,120,No
France,2023,348,220,120,No
France,2024,340,220,120,No
Italy,2015,381,160,175,No
Italy,2016,370,160,175,No
Italy,2017,358,160,175,No
Italy,2018,350,160,175,No
Italy,2019,340,160,175,No
Italy,2020,310,160,175,No
Italy,2021,328,160,175,No
Italy,2022,339,160,175,No
Italy,2023,342,160,175,No
Italy,2024,335,160,175,No
Canada,2015,582,370,250,No
Canada,2016,575,370,250,No
Canada,2017,589,370,250,No
Canada,2018,601,370,250,No
Canada,2019,608,370,250,No
Canada,2020,577,370,250,No
Canada,2021,608,370,250,No
Canada,2022,624,370,250,No
Canada,2023,635,370,250,No
Canada,2024,620,370,250,No
Japan,2015,1221,600,530,No
Japan,2016,1203,600,530,No
Japan,2017,1196,600,530,No
Japan,2018,1183,600,530,No
Japan,2019,1159,600,530,No
Japan,2020,1078,600,530,No
Japan,2021,1104,600,530,No
Japan,2022,1131,600,530,No
Japan,2023,1142,600,530,No
Japan,2024,1130,600,530,No
